Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
C,Finance,13,1.86E-05,12,3,0,0,,,,
R,MapReduce,1,2.43E-04,0,0,0,0,,,,
Programming,Unix,1,4.90E-04,0,0,0,0,,,,
SPSS,C,11,2.83E-04,0,0,0,0,,,,
Unix,Solaris,1,0.25,0,0,0,0,,,,
ProjectManagement,Troubleshooting,1,8.87E-04,0,0,0,0,,,,
Statistics,MapReduce,2,0.009389671,0,0,0,0,,,,
Tableau,Confluence,2,0.01010101,0,0,0,0,,,,
Windows,PHP,1,0.002083333,0,0,0,0,,,,
SQL,Database,52,2.63E-04,0,0,0,0,,,,
Analytics,Swift,4,2.05E-04,0,0,0,0,,,,
Analysis,jQuery,6,6.88E-05,0,0,0,0,,,,
Statistics,Hadoop,4,5.01E-04,0,0,0,0,,,,
ComputerScience,PenetrationTesting,1,0.008333334,0,0,0,0,,,,
SAS,jQuery,6,2.79E-04,0,0,0,0,,,,
Design,Waterfall,2,1.32E-04,0,0,0,0,,,,
SQL,BusinessIntelligence,32,8.20E-05,0,0,0,0,,,,
Developer,Perl,1,7.51E-04,0,0,0,0,,,,
Database,TCP,2,9.00E-04,0,0,0,0,,,,
ProjectManagement,BigData,2,2.33E-05,0,0,0,0,,,,
Developer,Architect,2,8.34E-05,0,0,0,0,,,,
DataManagement,Oracle,1,5.62E-05,0,0,0,0,,,,
Network,DataManagement,1,4.71E-06,0,0,0,0,,,,
Spark,Storm,1,0.333333343,0,0,0,0,,,,
Marketing,Developer,5,1.49E-06,0,0,0,0,,,,
SQL,SSRS,10,4.80E-04,0,0,0,0,,,,
C,VBA,13,0.001241917,0,0,0,0,,,,
Excel,Wordpress,2,5.60E-04,0,0,0,0,,,,
Reporting,XML,5,1.59E-04,0,0,0,0,,,,
Agile,CRM,4,1.96E-05,0,0,0,0,,,,
CRM,RelationalDatabase,1,2.33E-05,0,0,0,0,,,,
Excel,ARM,1,9.34E-05,0,0,0,0,,,,
DataManagement,DataMining,1,6.89E-04,0,0,0,0,,,,
StatisticalAnalysis,Adobe,1,1.68E-05,0,0,0,0,,,,
Statistics,SoftwareDevelopment,2,6.26E-04,0,0,0,0,,,,
Analyst,Hive,2,1.39E-05,0,0,0,0,,,,
C,Python,2,2.57E-05,0,0,0,0,,,,
Development,OLAP,2,6.58E-05,0,0,0,0,,,,
CSS,BigData,1,3.65E-04,0,0,0,0,,,,
DataAnalysis,Salesforce,2,0.007017544,0,0,0,0,,,,
Visio,Developer,4,6.67E-04,0,0,0,0,,,,
WebAnalytics,C,2,6.64E-06,0,0,0,0,,,,
Marketing,UserInterface,1,1.98E-05,0,0,0,0,,,,
DataAnalysis,EDI,1,2.74E-04,0,0,0,0,,,,
Analyst,SystemAnalysis,1,1.39E-05,0,0,0,0,,,,
Reporting,DataAnalysis,4,2.68E-05,0,0,0,0,,,,
MsOffice,RiskManagement,6,1.60E-04,0,0,0,0,,,,
SQL,UX,3,3.70E-05,0,0,0,0,,,,
Excel,SSIS,5,3.33E-04,0,0,0,0,,,,
Design,Security,4,1.83E-05,0,0,0,0,,,,
Development,SPSS,35,1.02E-04,0,0,0,0,,,,
ApacheSpark,Elasticsearch,1,0.25,0,0,0,0,,,,
GO,Salesforce,3,0.001948052,0,0,0,0,,,,
Analyst,Administrator,25,3.47E-05,0,0,0,0,,,,
Analytic,Hive,2,1.06E-04,0,0,0,0,,,,
Reporting,Oracle,9,5.26E-05,0,0,0,0,,,,
Reporting,Network,24,3.13E-05,0,0,0,0,,,,
Network,EDI,15,0.002003205,0,0,1,0,,,,
Reporting,GO,29,1.74E-04,0,0,0,0,,,,
Assurance,JavaScript,2,1.70E-05,0,0,0,0,,,,
Networking,JavaScript,2,0.001096491,0,0,0,0,,,,
Database,Scrum,5,3.01E-04,0,0,0,0,,,,
SQL,T-SQL,4,3.29E-04,0,0,0,0,,,,
SharePoint,RelationalDatabase,1,1.89E-04,0,0,0,0,,,,
Reporting,JavaScript,7,3.07E-05,0,0,0,0,,,,
Hadoop,AWS,1,0.006666667,0,0,0,0,,,,
Agile,SharePoint,2,3.97E-05,0,0,0,0,,,,
DataAnalysis,DataManagement,1,1.45E-04,0,0,0,0,,,,
Visio,ARM,1,0.009259259,0,0,0,0,,,,
Development,VBA,36,3.38E-04,0,0,0,0,,,,
Analyst,CVS,9,1.12E-04,0,0,0,0,,,,
