Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
SAS,Hadoop,4,7.81E-05,0,0,0,0,,,,
Oracle,Pentaho,1,0.00170068,0,0,0,0,,,,
Analyst,ProjectManagement,35,1.99E-04,0,0,0,0,,,,
R,Hive,2,0.002298851,0,0,0,0,,,,
Finance,DataScience,1,3.13E-05,0,0,0,0,,,,
CRM,JavaScript,1,3.06E-05,0,0,0,0,,,,
Analytics,SSRS,1,2.24E-05,0,0,0,0,,,,
Excel,Modeling,1,1.38E-05,0,0,0,0,,,,
Agile,SoftwareDesign,1,0.006993007,0,0,0,0,,,,
Analysis,Hadoop,3,1.51E-05,0,0,0,0,,,,
CRM,UML,1,7.35E-04,0,0,0,0,,,,
GO,Pentaho,1,4.63E-04,0,0,0,0,,,,
DataMining,DataWarehouse,1,0.00617284,0,0,0,0,,,,
SQL,UserInterface,1,1.83E-04,0,0,0,0,,,,
SPSS,Tools,5,0.001315236,0,0,0,0,,,,
Analytic,Java,3,2.96E-04,0,0,0,0,,,,
Analytic,Math,3,4.43E-04,0,0,0,0,,,,
Analyst,SoftwareDevelopment,3,3.71E-05,0,0,0,0,,,,
R,jQuery,4,0.001532567,0,0,0,0,,,,
Statistics,Hive,1,0.005376344,0,0,0,0,,,,
Analytics,Spring,1,2.52E-05,0,0,0,0,,,,
Excel,DataAnalysis,4,5.51E-04,0,0,0,0,,,,
Assurance,Prototype,1,0.001077586,0,0,0,0,,,,
VBA,C++,2,0.004273504,0,0,0,0,,,,
Tools,Finance,1,2.61E-06,0,0,0,0,,,,
Marketing,JavaScript,6,7.10E-05,0,0,0,0,,,,
BusinessIntelligence,Pentaho,2,3.98E-04,0,0,0,0,,,,
Monitoring,Tools,3,2.30E-04,0,0,0,0,,,,
Marketing,UML,1,4.73E-05,0,0,0,0,,,,
SPSS,DataScience,1,6.31E-04,0,0,0,0,,,,
Programming,Analytic,10,1.56E-04,0,0,0,0,,,,
Analyst,Hudson,1,7.42E-06,0,0,0,0,,,,
Analytics,DataMining,1,6.72E-05,0,0,0,0,,,,
Network,Architect,1,3.92E-05,0,0,0,0,,,,
SAS,CSS,1,1.14E-04,0,0,0,0,,,,
Database,Pentaho,1,1.83E-04,0,0,0,0,,,,
Math,LeSS,1,0.027777778,0,0,0,0,,,,
Analytic,StatisticalAnalysis,7,1.86E-04,0,0,0,0,,,,
Marketing,Spring,1,1.18E-05,0,0,0,0,,,,
Oracle,Architect,3,0.004081632,0,0,0,0,,,,
WebAnalytics,BigData,1,3.01E-05,0,0,0,0,,,,
Statistics,Monitoring,6,7.12E-04,0,0,0,0,,,,
Analytics,JavaScript,6,1.51E-04,0,0,0,0,,,,
Excel,XML,3,8.26E-04,0,0,0,0,,,,
Modeling,MATLAB,2,0.003333333,0,0,0,0,,,,
GO,Architect,1,1.23E-04,0,0,0,0,,,,
DataScience,jQuery,1,0.013888889,0,0,0,0,,,,
Statistics,Finance,6,7.26E-05,0,0,0,0,,,,
Analysis,CSS,2,1.56E-04,0,0,0,0,,,,
Python,BigData,1,2.48E-04,0,0,0,0,,,,
SQL,Agile,7,1.25E-04,0,0,0,0,,,,
VBA,Troubleshooting,1,0.012820513,0,0,0,0,,,,
Design,Automation,1,9.42E-06,0,0,0,0,,,,
Development,Math,4,3.66E-04,0,0,0,0,,,,
SPSS,R,11,5.27E-04,0,0,0,0,,,,
Analyst,DatabaseDesign,3,1.11E-04,0,0,0,0,,,,
SQL,RelationalDatabase,4,3.90E-04,0,0,0,0,,,,
Development,Java,3,1.37E-04,0,0,0,0,,,,
MsOffice,Finance,5,3.26E-05,0,0,0,0,,,,
