Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Programming,Python,1,0.008333334,0,0,0,0,,,,
SPSS,Pig,1,0.045454547,0,0,0,0,,,,
CustomerSupport,HTTP,1,0.050000001,0,0,0,0,,,,
SAS,BusinessIntelligence,1,7.47E-05,0,0,0,0,,,,
DataAnalysis,Finance,1,8.13E-04,0,0,0,0,,,,
Excel,SQL,2,3.70E-04,0,0,0,0,,,,
ProjectManagement,CVS,1,0.016666668,0,0,0,0,,,,
Development,StatisticalAnalysis,1,2.29E-04,0,0,0,0,,,,
SAS,Hadoop,1,6.94E-04,0,0,0,0,,,,
Analyst,ProjectManagement,5,3.40E-04,0,0,1,0,,,,
R,Hive,1,0.00862069,0,0,0,0,,,,
Reporting,DataWarehouse,1,3.53E-04,0,0,0,0,,,,
Excel,BusinessObjects,1,0.001666667,0,0,0,0,,,,
Analytic,BusinessAnalytic,1,0.005319149,0,0,0,0,,,,
Excel,Statistics,2,0.004444445,1,3,0,0,,,,
CRM,ProjectManagement,1,4.90E-04,0,0,0,0,,,,
SQL,SPSS,2,0.001683502,0,0,0,0,,,,
Analyst,JavaScript,1,5.10E-05,0,0,0,0,,,,
Development,UX,1,2.75E-04,0,0,0,0,,,,
Analysis,Database,2,1.29E-04,0,0,0,1,,,,
Analytic,BigData,1,3.32E-04,0,0,0,0,,,,
Reporting,Tableau,1,2.65E-04,0,0,0,0,,,,
SQL,Monitoring,1,1.82E-04,0,0,0,0,,,,
Statistics,Hive,1,0.111111112,0,0,0,0,,,,
Analytics,Reporting,1,1.45E-05,0,0,0,0,,,,
Analyst,VMware,1,4.08E-04,0,0,0,0,,,,
Development,Storage,1,0.001373626,0,0,0,0,,,,
Assurance,Prototype,1,0.03125,0,0,0,0,,,,
Hive,Pig,1,1,0,0,0,0,,,,
Marketing,JavaScript,1,2.08E-04,0,0,0,0,,,,
Programming,Analytic,1,5.32E-04,0,0,0,0,,,,
Marketing,ProjectManagement,1,5.56E-05,0,0,0,0,,,,
